;Substance;code;primary_code;Lvl4;Lvl3;Lvl2;Lvl1;Class1;Class2;Class3;Class4
3268;technetium tc 99m oxidronate;V09BA01;V09BA01;V09BA;V09B;V09;V;Various;Diagnostic radiopharmaceuticals;Skeleton;Technetium (99mTc) compounds, skeletal
6115;florbetaben (18f);V09AX06;V09AX06;V09AX;V09A;V09;V;Various;Diagnostic radiopharmaceuticals;Central nervous system;Other central nervous system diagnostic radiopharmaceuticals
3857;florbetapir (18f);V09AX05;V09AX05;V09AX;V09A;V09;V;Various;Diagnostic radiopharmaceuticals;Central nervous system;Other central nervous system diagnostic radiopharmaceuticals
3439;flutemetamol (18f);V09AX04;V09AX04;V09AX;V09A;V09;V;Various;Diagnostic radiopharmaceuticals;Central nervous system;Other central nervous system diagnostic radiopharmaceuticals
2278;ioflupane (123i);V09AB03;V09AB03;V09AB;V09A;V09;V;Various;Diagnostic radiopharmaceuticals;Central nervous system;Iodine (123I) compounds
4967;iofetamine (123 i);V09AB01;V09AB01;V09AB;V09A;V09;V;Various;Diagnostic radiopharmaceuticals;Central nervous system;Iodine (123I) compounds
3729;iodine (123 i);V09AB;V09AB;V09AB;V09A;V09;V;Various;Diagnostic radiopharmaceuticals;Central nervous system;Iodine (123I) compounds
4240;technetium tc 99m bicisate;V09AA02;V09AA02;V09AA;V09A;V09;V;Various;Diagnostic radiopharmaceuticals;Central nervous system;Technetium (99mTc) compounds
6304;technetium tc 99m exametazime;V09AA01;V09AA01;V09AA;V09A;V09;V;Various;Diagnostic radiopharmaceuticals;Central nervous system;Technetium (99mTc) compounds
2140;technetium tc 99m;V09;V09;V09;V09;V09;V;Various;Diagnostic radiopharmaceuticals;NA;NA
1766;chromium;V09;V09;V09;V09;V09;V;Various;Diagnostic radiopharmaceuticals;NA;NA
1857;sulfur hexafluoride;V08DA05;V08DA05;V08DA;V08D;V08;V;Various;Contrast media;Ultrasound contrast media;Ultrasound contrast media
6751;perflenapent;V08DA03;V08DA03;V08DA;V08D;V08;V;Various;Contrast media;Ultrasound contrast media;Ultrasound contrast media
1395;perflutren;V08DA;V08DA;V08DA;V08D;V08;V;Various;Contrast media;Ultrasound contrast media;Ultrasound contrast media
5873;perflubron;V08CX01;V08CX01;V08CX;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Other magnetic resonance imaging contrast media
5026;ferumoxsil;V08CB01;V08CB01;V08CB;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Superparamagnetic contrast media
3897;gadofosveset;V08CA11;V08CA11;V08CA;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Paramagnetic contrast media
2300;gadoxetic acid;V08CA10;V08CA10;V08CA;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Paramagnetic contrast media
1263;gadobutrol;V08CA09;V08CA09;V08CA;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Paramagnetic contrast media
1139;gadobenic acid;V08CA08;V08CA08;V08CA;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Paramagnetic contrast media
4004;ferric ammonium citrate;V08CA07;V08CA07;V08CA;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Paramagnetic contrast media
1369;gadoversetamide;V08CA06;V08CA06;V08CA;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Paramagnetic contrast media
1455;gadoteridol;V08CA04;V08CA04;V08CA;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Paramagnetic contrast media
961;gadodiamide;V08CA03;V08CA03;V08CA;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Paramagnetic contrast media
1511;gadoteric acid;V08CA02;V08CA02;V08CA;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Paramagnetic contrast media
795;gadopentetic acid;V08CA01;V08CA01;V08CA;V08C;V08;V;Various;Contrast media;Magnetic resonance imaging contrast media;Paramagnetic contrast media
4765;iofendylate;V08AD04;V08AD04;V08AD;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Non-watersoluble X-ray contrast media
6779;propyliodone;V08AD03;V08AD03;V08AD;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Non-watersoluble X-ray contrast media
3560;iocetamic acid;V08AC07;V08AC07;V08AC;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, hepatotropic X-ray contrast media
4817;iopanoic acid;V08AC06;V08AC06;V08AC;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, hepatotropic X-ray contrast media
6160;iotroxic acid;V08AC02;V08AC02;V08AC;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, hepatotropic X-ray contrast media
3272;ioxilan;V08AB12;V08AB12;V08AB;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, low osmolar X-ray contrast media
2281;iobitridol;V08AB11;V08AB11;V08AB;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, low osmolar X-ray contrast media
2032;iomeprol;V08AB10;V08AB10;V08AB;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, low osmolar X-ray contrast media
1355;iodixanol;V08AB09;V08AB09;V08AB;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, low osmolar X-ray contrast media
1802;ioversol;V08AB07;V08AB07;V08AB;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, low osmolar X-ray contrast media
4564;iotrolan;V08AB06;V08AB06;V08AB;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, low osmolar X-ray contrast media
1488;iopromide;V08AB05;V08AB05;V08AB;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, low osmolar X-ray contrast media
1346;iopamidol;V08AB04;V08AB04;V08AB;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, low osmolar X-ray contrast media
2773;ioxaglic acid;V08AB03;V08AB03;V08AB;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, low osmolar X-ray contrast media
951;iohexol;V08AB02;V08AB02;V08AB;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, low osmolar X-ray contrast media
6201;metrizamide;V08AB01;V08AB01;V08AB;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, low osmolar X-ray contrast media
4973;methiodal;V08AA09;V08AA09;V08AA;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, high osmolar X-ray contrast media
6157;iocarmic acid;V08AA08;V08AA08;V08AA;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, high osmolar X-ray contrast media
6670;ioglicic acid;V08AA06;V08AA06;V08AA;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, high osmolar X-ray contrast media
2792;ioxitalamic acid;V08AA05;V08AA05;V08AA;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, high osmolar X-ray contrast media
2791;iotalamic acid;V08AA04;V08AA04;V08AA;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, high osmolar X-ray contrast media
3719;iodamide;V08AA03;V08AA03;V08AA;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, high osmolar X-ray contrast media
6716;metrizoic acid;V08AA02;V08AA02;V08AA;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, high osmolar X-ray contrast media
2542;diatrizoic acid;V08AA01;V08AA01;V08AA;V08A;V08;V;Various;Contrast media;X-ray contrast media, iodinated;Watersoluble, nephrotropic, high osmolar X-ray contrast media
1849;contrast media, unspecified;V08;V08;V08;V08;V08;V;Various;Contrast media;NA;NA
2672;other non-therapeutic products;V07A;V07A;V07A;V07A;V07;V;Various;All other non-therapeutic products;All other non-therapeutic products;NA
2336;valine;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
2263;tyrosine;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
2335;threonine;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
2716;theanine;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
1901;taurine;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
3160;phenylpyruvic acid;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
2332;phenylalanine;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
2331;leucine;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
2330;isoleucine;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
2329;histidine;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
3159;desmeninol;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
3158;calcium (rs)-4-methyl-2-oxovalerianat;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
1705;arginine;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;Amino acids
3157;(rs)-3-methyl-2-oxobutyric acid calcium;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
3156;(rs)-3 methyl-2-oxovalerianic acid calcium;V06DD;V06DD;V06DD;V06D;V06;V;Various;General nutrients;Other nutrients;NA
2405;fructose;V06DC02;V06DC02;V06DC;V06D;V06;V;Various;General nutrients;Other nutrients;Carbohydrates
175;glucose;V06DC01;B05CX01;V06DC;V06D;V06;V;Various;General nutrients;Other nutrients;Carbohydrates
845;nutrients, unspecified;V06;V06;V06;V06;V06;V;Various;General nutrients;NA;NA
2045;carbon monoxide;V04CX08;V04CX08;V04CX;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Other diagnostic agents
4161;edrophonium;V04CX07;V04CX07;V04CX;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Other diagnostic agents
4005;hexaminolevulinate;V04CX06;V04CX06;V04CX;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Other diagnostic agents
1370;urea;V04CX05;V04CX05;V04CX;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Other diagnostic agents
1012;mannitol;V04CX04;R05CB16;V04CX;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Other diagnostic agents
3593;methacholine;V04CX03;V04CX03;V04CX;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Other diagnostic agents
29;vitamin b9;V04CX02;B03BB01;V04CX;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Other diagnostic agents
3047;indocyanine green;V04CX01;V04CX01;V04CX;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Other diagnostic agents
2343;gonadorelin;V04CM01;H01CA01;V04CM;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for fertility disturbances
6012;bentiromide;V04CK03;V04CK03;V04CK;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for pancreatic function
4540;secretin;V04CK01;V04CK01;V04CK;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for pancreatic function
4371;protirelin;V04CJ02;V04CJ02;V04CJ;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for thyreoidea function
4783;thyrotropin;V04CJ01;V04CJ01;V04CJ;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for thyreoidea function
5352;aminohippuric acid;V04CH30;V04CH30;V04CH;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for renal function and ureteral injuries
6662;indigo carmine;V04CH02;V04CH02;V04CH;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for renal function and ureteral injuries
2485;inulin;V04CH01;V04CH01;V04CH;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for renal function and ureteral injuries
1650;methylthioninium;V04CG05;V03AB17;V04CG;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for gastric secretion
6749;pentagastrin;V04CG04;V04CG04;V04CG;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for gastric secretion
3938;betazole;V04CG02;V04CG02;V04CG;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for gastric secretion
1761;tuberculin;V04CF01;V04CF01;V04CF;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tuberculosis diagnostics
4439;galactose;V04CE01;V04CE01;V04CE;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for liver functional capacity
5424;macimorelin;V04CD06;V04CD06;V04CD;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for pituitary function
5171;somatorelin;V04CD05;V04CD05;V04CD;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for pituitary function
4557;corticorelin;V04CD04;V04CD04;V04CD;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for pituitary function
3906;sermorelin;V04CD03;H01AC04;V04CD;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for pituitary function
2057;metyrapone;V04CD01;V04CD01;V04CD;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for pituitary function
3108;sincalide;V04CC03;V04CC03;V04CC;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for bile duct patency
2002;sorbitol;V04CC01;B05CX02;V04CC;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for bile duct patency
174;glucose;V04CA02;B05CX01;V04CA;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for diabetes
2219;tolbutamide;V04CA01;A10BB03;V04CA;V04C;V04;V;Various;Diagnostic agents;Other diagnostics;Tests for diabetes
477;ethanol;V03AZ01;D08AX08;V03AZ;V03A;V03;V;Various;All other products;All other therapeutics;Nerve depressants
776;cobicistat;V03AX03;V03AX03;V03AX;V03A;V03;V;Various;All other products;All other therapeutics;Other therapeutic products
2847;nalfurafine;V03AX02;V03AX02;V03AX;V03A;V03;V;Various;All other products;All other therapeutics;Other therapeutic products
2950;nitrogen;V03AN04;V03AN04;V03AN;V03A;V03;V;Various;All other products;All other therapeutics;Medical gases
3388;helium;V03AN03;V03AN03;V03AN;V03A;V03;V;Various;All other products;All other therapeutics;Medical gases
2834;carbon dioxide;V03AN02;V03AN02;V03AN;V03A;V03;V;Various;All other products;All other therapeutics;Medical gases
346;oxygen;V03AN01;V03AN01;V03AN;V03A;V03;V;Various;All other products;All other therapeutics;Medical gases
1720;diazoxide;V03AH01;C02DA01;V03AH;V03A;V03;V;Various;All other products;All other therapeutics;Drugs for treatment of hypoglycemia
1426;sodium phosphate;V03AG05;B05XA09;V03AG;V03A;V03;V;Various;All other products;All other therapeutics;Drugs for treatment of hypercalcemia
2872;trilaciclib;V03AF12;V03AF12;V03AF;V03A;V03;V;Various;All other products;All other therapeutics;Detoxifying agents for antineoplastic treatment
2632;glucarpidase;V03AF09;V03AF09;V03AF;V03A;V03;V;Various;All other products;All other therapeutics;Detoxifying agents for antineoplastic treatment
2498;palifermin;V03AF08;V03AF08;V03AF;V03A;V03;V;Various;All other products;All other therapeutics;Detoxifying agents for antineoplastic treatment
1211;rasburicase;V03AF07;V03AF07;V03AF;V03A;V03;V;Various;All other products;All other therapeutics;Detoxifying agents for antineoplastic treatment
2084;amifostine;V03AF05;V03AF05;V03AF;V03A;V03;V;Various;All other products;All other therapeutics;Detoxifying agents for antineoplastic treatment
1002;levofolinic acid;V03AF04;V03AF04;V03AF;V03A;V03;V;Various;All other products;All other therapeutics;Detoxifying agents for antineoplastic treatment
1700;dexrazoxane;V03AF02;V03AF02;V03AF;V03A;V03;V;Various;All other products;All other therapeutics;Detoxifying agents for antineoplastic treatment
771;mesna;V03AF01;R05CB05;V03AF;V03A;V03;V;Various;All other products;All other therapeutics;Detoxifying agents for antineoplastic treatment
391;folinic acid;V03AF;V03AF;V03AF;V03A;V03;V;Various;All other products;All other therapeutics;Detoxifying agents for antineoplastic treatment
1949;sodium zirconium cyclosilicate;V03AE10;V03AE10;V03AE;V03A;V03;V;Various;All other products;All other therapeutics;Drugs for treatment of hyperkalemia and hyperphosphatemia
735;patiromer;V03AE09;V03AE09;V03AE;V03A;V03;V;Various;All other products;All other therapeutics;Drugs for treatment of hyperkalemia and hyperphosphatemia
931;calcium acetate;V03AE07;V03AE07;V03AE;V03A;V03;V;Various;All other products;All other therapeutics;Drugs for treatment of hyperkalemia and hyperphosphatemia
3284;colestilan;V03AE06;V03AE06;V03AE;V03A;V03;V;Various;All other products;All other therapeutics;Drugs for treatment of hyperkalemia and hyperphosphatemia
1524;sucroferric oxyhydroxide;V03AE05;V03AE05;V03AE;V03A;V03;V;Various;All other products;All other therapeutics;Drugs for treatment of hyperkalemia and hyperphosphatemia
1127;lanthanum carbonate;V03AE03;V03AE03;V03AE;V03A;V03;V;Various;All other products;All other therapeutics;Drugs for treatment of hyperkalemia and hyperphosphatemia
906;sevelamer;V03AE02;V03AE02;V03AE;V03A;V03;V;Various;All other products;All other therapeutics;Drugs for treatment of hyperkalemia and hyperphosphatemia
1515;polystyrene sulfonate;V03AE01;V03AE01;V03AE;V03A;V03;V;Various;All other products;All other therapeutics;Drugs for treatment of hyperkalemia and hyperphosphatemia
486;deferasirox;V03AC03;V03AC03;V03AC;V03A;V03;V;Various;All other products;All other therapeutics;Iron chelating agents
1305;deferiprone;V03AC02;V03AC02;V03AC;V03A;V03;V;Various;All other products;All other therapeutics;Iron chelating agents
1643;deferoxamine;V03AC01;V03AC01;V03AC;V03A;V03;V;Various;All other products;All other therapeutics;Iron chelating agents
2191;andexanet alfa;V03AB38;V03AB38;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
1691;idarucizumab;V03AB37;V03AB37;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
2608;phentolamine;V03AB36;C04AB01;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
1565;sugammadex;V03AB35;V03AB35;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
2829;fomepizole;V03AB34;V03AB34;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
1379;glutathione;V03AB32;V03AB32;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
1944;methionine;V03AB26;V03AB26;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
1840;flumazenil;V03AB25;V03AB25;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
2940;digoxin-specific antibody fragments;V03AB24;V03AB24;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
732;acetylcysteine;V03AB23;R05CB01;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
3483;amyl nitrite;V03AB22;V03AB22;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
3112;physostigmine;V03AB19;S01EB05;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
2730;potassium permanganate;V03AB18;D08AX06;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
1649;methylthioninium;V03AB17;V03AB17;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
476;ethanol;V03AB16;D08AX08;V03AB;V03A;V03;V;Various;All other products;All other therapeutics;Antidotes
