;pt;standard_pt
131;burkitt^s lymphoma refractory;burkitt's lymphoma refractory
132;peyronie^s disease;peyronie's disease
133;kaposi^s sarcoma;kaposi's sarcoma
134;acute  lymphoblastic leukemia;acute lymphocytic leukaemia
135;type  iib  hyperlipidaemia;type iib hyperlipidaemia
136;drug use  for unknown indication;product used for unknown indication
137;product used for unknown  indication;product used for unknown indication
138;product  used for unknown indication;product used for unknown indication
139;escherichia  infection;escherichia infection
140;hypertension  arterial;hypertension
141;herpes  zoster;herpes zoster
142;squamous cell  carcinoma of the cervix;squamous cell carcinoma of the cervix
143;hepatitis b  immunization;hepatitis b immunisation
144;urinary tract  infection;urinary tract infection
145;systemic inflammatory  response syndrome;systemic inflammatory response syndrome
146;rheumatoid  arthritis;rheumatoid arthritis
147;malignant neoplasm of  prostate;prostate cancer
148;acute  myeloid  leukaemia;acute myeloid leukaemia
149;drug use for unapproved  indication;product used for unknown indication
150;alzheimer's  disease;dementia alzheimer's type
151;drug use for unknown  indication;product used for unknown indication
152;infection  mrsa;staphylococcal infection
153;tuberculous  meningitis;meningitis tuberculous
154;schizoaffective  disorder;schizoaffective disorder
155;skin  abrasion;skin abrasion
156;precautionary measure;prophylaxis
157;human herpesvirus  6  infection;human herpesvirus 6 infection
158;convulsion  prophylaxis;seizure prophylaxis
159;cholesterol  high;blood cholesterol increased
160;cardiac  ablation;cardiac ablation
161;lactation  inhibition therapy;lactation inhibition therapy
162;chronic hepatitis  b;chronic hepatitis b
163;b-cell  lymphoma;b-cell lymphoma
164;convulsion  disorder;seizure
165;upper respiratory tract  infection;upper respiratory tract infection
166;wet  macular degeneration;neovascular age-related macular degeneration
167;hepatitis  prophylaxis;antiviral prophylaxis
168;acute  lymphocytic leukaemia;acute lymphocytic leukaemia
169;peripheral arterial  disease;peripheral arterial occlusive disease
170;acquired immunodeficiency  syndrome;acquired immunodeficiency syndrome
171;drug use for  unknown indication;product used for unknown indication
172;bartter^s syndrome;bartter's syndrome
173;dupuytren^s contracture operation;dupuytren's contracture operation
174;drug dose omission;product dose omission issue
175;inappropriate schedule of drug administration;inappropriate schedule of product administration
176;product dose omission;product dose omission issue
177;convulsion;seizure
178;drug effect decreased;therapeutic product effect decreased
179;renal failure acute;acute kidney injury
180;drug effect incomplete;therapeutic product effect incomplete
181;wrong technique in drug usage process;wrong technique in product usage process
182;incorrect route of drug administration;incorrect route of product administration
183;drug exposure during pregnancy;exposure during pregnancy
184;drug administration error;product administration error
185;incorrect drug administration duration;incorrect product administration duration
186;rash generalised;rash
187;pharmaceutical product complaint;product complaint
188;abasia;gait inability
189;pruritus generalised;pruritus
190;intentional drug misuse;intentional product misuse
191;activities of daily living impaired;loss of personal independence in daily activities
192;menorrhagia;heavy menstrual bleeding
193;drug prescribing error;product prescribing error
194;multi-organ failure;multiple organ dysfunction syndrome
195;local swelling;swelling
196;metrorrhagia;intermenstrual bleeding
197;lung infection;pneumonia
198;drug dispensing error;product dispensing error
199;drug toxicity;toxicity to various agents
200;incorrect product storage;product storage error
201;anorexia;decreased appetite
202;no therapeutic response;therapy non-responder
203;drug administered at inappropriate site;product administered at inappropriate site
204;laceration;skin laceration
205;grand mal convulsion;generalised tonic-clonic seizure
206;wrong drug administered;wrong product administered
207;renal failure chronic;chronic kidney disease
208;medical device complication;complication associated with device
209;drug administered to patient of inappropriate age;product administered to patient of inappropriate age
210;poor quality drug administered;poor quality product administered
211;hearing impaired;hypoacusis
212;visual disturbance;visual impairment
213;generalised erythema;erythema
214;intra-uterine contraceptive device expelled;device expulsion
215;pharyngolaryngeal pain;laryngeal pain
216;stomach discomfort;abdominal discomfort
217;multiple myeloma;plasma cell myeloma
218;expired drug administered;expired product administered
219;multiple drug overdose;overdose
220;aphagia;dysphagia
221;faecal incontinence;anal incontinence
222;spinal column stenosis;spinal stenosis
223;medication residue present;product residue present
224;drug effect delayed;therapeutic product effect delayed
225;haemorrhagic anaemia;blood loss anaemia
226;accidental exposure;accidental exposure to product
227;therapeutic response unexpected with drug substitution;therapeutic response unexpected
228;candidiasis;candida infection
229;sensation of heaviness;discomfort
230;frustration;frustration tolerance decreased
231;bronchopneumonia;pneumonia
232;viith nerve paralysis;facial paralysis
233;difficulty in walking;gait disturbance
234;therapeutic agent toxicity;toxicity to various agents
235;nuclear magnetic resonance imaging abnormal;magnetic resonance imaging abnormal
236;cytolytic hepatitis;hepatic cytolysis
237;exposure during breast feeding;maternal exposure during breast feeding
238;attention deficit/hyperactivity disorder;attention deficit hyperactivity disorder
239;drug rash with eosinophilia and systemic symptoms;drug reaction with eosinophilia and systemic symptoms
240;multiple drug overdose intentional;intentional overdose
241;drug effect increased;therapeutic product effect increased
242;self injurious behaviour;intentional self-injury
243;histiocytosis haematophagic;haemophagocytic lymphohistiocytosis
244;immune thrombocytopenic purpura;immune thrombocytopenia
245;wrong patient received medication;wrong patient received product
246;angioneurotic oedema;angioedema
247;iucd complication;complication associated with device
248;excoriation;skin abrasion
249;medication residue;product residue present
250;oral intake reduced;hypophagia
251;aphthous stomatitis;aphthous ulcer
252;hepatocellular damage;hepatocellular injury
253;pneumocystis jiroveci pneumonia;pneumocystis jirovecii pneumonia
254;facial palsy;facial paralysis
255;reaction to drug excipients;reaction to excipient
256;hepatic neoplasm malignant;hepatic cancer
257;joint crepitation;joint noise
258;bile duct obstruction;biliary obstruction
259;intentional misuse;intentional product misuse
260;lobar pneumonia;pneumonia
261;no adverse effect;no adverse event
262;muscle cramp;muscle spasms
263;sensitivity of teeth;hyperaesthesia teeth
264;blood amylase increased;amylase increased
265;incorrect storage of drug;product storage error
266;colonic polyp;large intestine polyp
267;neuropathy;neuropathy peripheral
268;pathological gambling;gambling disorder
269;leukocytoclastic vasculitis;cutaneous vasculitis
270;idiopathic thrombocytopenic purpura;immune thrombocytopenia
271;intra-uterine death;foetal death
272;accidental drug intake by child;accidental exposure to product by child
273;diabetes mellitus non-insulin-dependent;type 2 diabetes mellitus
274;hypoaesthesia facial;hypoaesthesia
275;intercepted drug dispensing error;intercepted product dispensing error
276;nuclear magnetic resonance imaging brain abnormal;magnetic resonance imaging head abnormal
277;meniscus lesion;meniscus injury
278;peritoneal haemorrhage;haemoperitoneum
279;mucous membrane disorder;mucosal disorder
280;aspergillosis;aspergillus infection
281;device misuse;intentional device misuse
282;polytraumatism;multiple injuries
283;immune reconstitution syndrome;immune reconstitution inflammatory syndrome
284;nephritis interstitial;tubulointerstitial nephritis
285;benign intracranial hypertension;idiopathic intracranial hypertension
286;dysfunctional uterine bleeding;abnormal uterine bleeding
287;bone marrow toxicity;myelosuppression
288;sick sinus syndrome;sinus node dysfunction
289;acute prerenal failure;acute kidney injury
290;drug effect variable;therapeutic product effect variable
291;catheter related complication;complication associated with device
292;complex partial seizures;focal dyscognitive seizures
293;open wound;wound
294;drug exposure via breast milk;exposure via breast milk
295;intracranial venous sinus thrombosis;cerebral venous sinus thrombosis
296;joint sprain;ligament sprain
297;feeding disorder neonatal;selective eating disorder
298;alveolitis allergic;hypersensitivity pneumonitis
299;catheter related infection;device related infection
300;autism;autism spectrum disorder
301;product difficult to swallow;product use complaint
302;shoulder pain;arthralgia
303;bone marrow depression;myelosuppression
304;hepatic congestion;congestive hepatopathy
305;temporal arteritis;giant cell arteritis
306;therapeutic product cross-reactivity;cross sensitivity reaction
307;primary sequestrum;bone sequestrum
308;incision site infection;postoperative wound infection
309;sensation of pressure;discomfort
310;iud migration;device dislocation
311;syncope vasovagal;syncope
312;jc virus test positive;jc polyomavirus test positive
313;depersonalisation;depersonalisation/derealisation disorder
314;gingival infection;gingivitis
315;mycosis fungoides;cutaneous t-cell lymphoma
316;collapse of lung;pneumothorax
317;anaemia haemolytic autoimmune;autoimmune haemolytic anaemia
318;accidental needle stick;injury associated with device
319;electromechanical dissociation;pulseless electrical activity
320;allergic granulomatous angiitis;eosinophilic granulomatosis with polyangiitis
321;device damage;device physical property issue
322;chemical injury;chemical burn
323;pulmonary mycosis;pneumonia fungal
324;transmission of an infectious agent via a medicinal product;transmission of an infectious agent via product
325;product dropper issue;product delivery mechanism issue
326;aseptic necrosis bone;osteonecrosis
327;reversible posterior leukoencephalopathy syndrome;posterior reversible encephalopathy syndrome
328;electrocardiogram qt corrected interval prolonged;electrocardiogram qt prolonged
329;reflux oesophagitis;gastrooesophageal reflux disease
330;injection site burning;injection site pain
331;foetal growth retardation;foetal growth restriction
332;venous insufficiency;peripheral venous disease
333;oxygen supplementation;oxygen therapy
334;scotoma;visual field defect
335;calculus ureteric;ureterolithiasis
336;foreign body trauma;foreign body
337;cardiac enzymes increased;myocardial necrosis marker increased
338;bunion;foot deformity
339;pubis fracture;pelvic fracture
340;eye rolling;eye movement disorder
341;no adverse drug effect;no adverse event
342;contraindicated drug administered;contraindicated product administered
343;painful defaecation;dyschezia
344;infectious peritonitis;peritonitis
345;anoxic encephalopathy;hypoxic-ischaemic encephalopathy
346;gallbladder pain;biliary colic
347;device battery issue;device power source issue
348;complications of maternal exposure to therapeutic drugs;maternal drugs affecting foetus
349;urticaria generalised;urticaria
350;vaginitis bacterial;bacterial vulvovaginitis
351;blood cortisol decreased;cortisol decreased
352;polysubstance abuse;substance abuse
353;intestinal functional disorder;functional gastrointestinal disorder
354;pitting oedema;oedema
355;lower extremity mass;limb mass
356;inappropriate prescribing;product prescribing issue
357;incorrect drug dosage form administered;incorrect product dosage form administered
358;gingival hyperplasia;gingival hypertrophy
359;eye burns;thermal burns of eye
360;aortic calcification;aortic arteriosclerosis
361;nerve root compression;radiculopathy
362;pneumonia primary atypical;atypical pneumonia
363;sleep walking;somnambulism
364;renal cell carcinoma stage unspecified;renal cell carcinoma
365;urine colour abnormal;chromaturia
366;gallbladder non-functioning;gallbladder hypofunction
367;lung infection pseudomonal;pneumonia pseudomonal
368;hepatitis c virus;hepatitis c virus test
369;thrombocythaemia;thrombocytosis
370;drug effect prolonged;therapeutic product effect prolonged
371;immune-mediated necrotising myopathy;immune-mediated myositis
372;postnasal drip;upper-airway cough syndrome
373;brain midline shift;cerebral mass effect
374;stent occlusion;device occlusion
375;convulsion neonatal;neonatal seizure
376;infectious colitis;large intestine infection
377;migration of implanted drug;device dislocation
378;diabetes mellitus insulin-dependent;type 1 diabetes mellitus
379;dyspnoea exacerbated;dyspnoea
380;markedly reduced dietary intake;hypophagia
381;intercepted drug prescribing error;intercepted product prescribing error
382;brain damage;brain injury
383;herpes zoster disseminated;disseminated varicella zoster virus infection
384;hoarseness;dysphonia
385;postoperative infection;post procedural infection
386;vaginal burning sensation;vulvovaginal burning sensation
387;zygomycosis;mucormycosis
388;injury asphyxiation;asphyxia
389;dysphasia;aphasia
390;multiple drug overdose accidental;accidental overdose
391;coronary artery atherosclerosis;arteriosclerosis coronary artery
392;stress symptoms;stress
393;caecitis;colitis
394;transmission of drug via semen;exposure via body fluid
395;operative haemorrhage;procedural haemorrhage
396;vasculitis cerebral;central nervous system vasculitis
397;localised intraabdominal fluid collection;intra-abdominal fluid collection
398;corona virus infection;coronavirus infection
399;wound debridement;debridement
400;intercepted drug administration error;intercepted product administration error
401;elevated mood;euphoric mood
402;autoimmune thrombocytopenia;immune thrombocytopenia
403;failure of child resistant mechanism for pharmaceutical product;failure of child resistant product closure
404;hypertelorism of orbit;hypertelorism
405;bronchitis acute;bronchitis
406;arterial thrombosis limb;peripheral artery thrombosis
407;hypoxic encephalopathy;hypoxic-ischaemic encephalopathy
408;bone neoplasm malignant;bone cancer
409;antepartum haemorrhage;haemorrhage in pregnancy
410;skin nodule;skin mass
411;obstructive uropathy;urinary tract obstruction
412;masked facies;reduced facial expression
413;therapy regimen changed;therapy change
414;conjunctivitis infective;conjunctivitis
415;skin chapped;skin fissures
416;gallbladder perforation;gallbladder rupture
417;blighted ovum;anembryonic gestation
418;ileitis;enteritis
419;upper extremity mass;limb mass
420;glasgow coma scale abnormal;coma scale abnormal
421;keratoconjunctivitis sicca;dry eye
422;small cell lung cancer stage unspecified;small cell lung cancer
423;atherosclerosis;arteriosclerosis
424;vomiting in pregnancy;morning sickness
425;central line infection;vascular device infection
426;encephalitis herpes;meningoencephalitis herpetic
427;schizophrenia, paranoid type;schizophrenia
428;pancreatic insufficiency;pancreatic failure
429;exanthem;rash
430;pancreatic necrosis;pancreatitis necrotising
431;vaginal swelling;vulvovaginal swelling
432;chronic obstructive airways disease exacerbated;chronic obstructive pulmonary disease
433;mental retardation;intellectual disability
434;biliary cirrhosis primary;primary biliary cholangitis
435;colonic stenosis;large intestinal stenosis
436;oral soft tissue disorder;oral disorder
437;nodule on extremity;nodule
438;social phobia;social anxiety disorder
439;neuromyelitis optica;neuromyelitis optica spectrum disorder
440;counterfeit drug administered;counterfeit product administered
441;dysthymic disorder;persistent depressive disorder
442;traumatic brain injury;craniocerebral injury
443;chest wall pain;musculoskeletal chest pain
444;brain mass;intracranial mass
445;juvenile arthritis;juvenile idiopathic arthritis
446;genital pruritus female;pruritus genital
447;femoral artery occlusion;peripheral artery occlusion
448;product reconstitution issue;product reconstitution quality issue
449;bowel sounds abnormal;gastrointestinal sounds abnormal
450;caustic injury;chemical burn
451;lung injury;traumatic lung injury
452;feeding tube complication;complication associated with device
453;aspiration bronchial;bronchial aspiration procedure
454;ectopic pregnancy with intrauterine device;ectopic pregnancy with contraceptive device
455;graft dysfunction;transplant dysfunction
456;monarthritis;arthritis
457;feeling hot and cold;feeling of body temperature change
458;documented hypersensitivity to administered drug;documented hypersensitivity to administered product
459;periorbital contusion;eye contusion
460;expressive language disorder;language disorder
461;subcutaneous nodule;skin mass
462;contraindicated drug prescribed;contraindicated product prescribed
463;pneumocystis jiroveci infection;pneumocystis jirovecii infection
464;hypertrophy breast;breast enlargement
465;chronic obstructive airways disease;chronic obstructive pulmonary disease
466;postoperative fever;post procedural fever
467;colonic pseudo-obstruction;intestinal pseudo-obstruction
468;eye redness;ocular hyperaemia
469;excitability;agitation
470;infected bites;infected bite
471;obesity surgery;metabolic surgery
472;loose stools;diarrhoea
473;colonic obstruction;large intestinal obstruction
474;heat rash;miliaria
475;blood cortisol increased;cortisol increased
476;narcotic intoxication;toxicity to various agents
477;intubation;endotracheal intubation
478;colitis collagenous;colitis microscopic
479;cervical myelopathy;myelopathy
480;therapeutic product contamination;product contamination
481;hepatic trauma;traumatic liver injury
482;postpartum depression;perinatal depression
483;apnoea neonatal;infantile apnoea
484;carcinoma;neoplasm malignant
485;myeloproliferative disorder;myeloproliferative neoplasm
486;immune-mediated pneumonitis;immune-mediated lung disease
487;skin desquamation;skin exfoliation
488;drug interaction potentiation;potentiating drug interaction
489;latex allergy;rubber sensitivity
490;application site bleeding;application site haemorrhage
491;drug label confusion;product label confusion
492;dental treatment;dental care
493;phantom pain;phantom limb syndrome
494;oral torus;exostosis of jaw
495;withdrawal bleeding irregular;abnormal withdrawal bleeding
496;lung adenocarcinoma metastatic;lung adenocarcinoma
497;genital disorder female;female reproductive tract disorder
498;injection site stinging;injection site pain
499;blood pressure;blood pressure measurement
500;infantile apnoeic attack;infantile apnoea
501;pain exacerbated;pain
502;self mutilation;intentional self-injury
503;buttock pain;musculoskeletal pain
504;foetal heart rate deceleration;foetal heart rate deceleration abnormality
505;vaginal mycosis;vulvovaginal mycotic infection
506;somatoform disorder;somatic symptom disorder
507;breast lump removal;breast conserving surgery
508;vaginal pain;vulvovaginal pain
509;vaginal laceration;vulvovaginal injury
510;vaginal inflammation;vulvovaginal inflammation
511;unresponsive to verbal stimuli;unresponsive to stimuli
512;facial dysmorphism;dysmorphism
513;systemic sclerosis;systemic scleroderma
514;medication monitoring error;product monitoring error
515;bacteria urine identified;bacterial test positive
516;drug delivery device implantation;drug delivery device placement
517;hip dysplasia;developmental hip dysplasia
518;perirenal haematoma;subcapsular renal haematoma
519;dysbacteriosis;dysbiosis
520;paralysis flaccid;paralysis
521;global amnesia;amnesia
522;pierre robin syndrome;otospondylomegaepiphyseal dysplasia
523;genital disorder male;male reproductive tract disorder
524;pharmaceutical product counterfeit;product counterfeit
525;contralateral breast cancer;breast cancer
526;acute promyelocytic leukaemia differentiation syndrome;differentiation syndrome
527;catheter sepsis;device related sepsis
528;gastroduodenitis;gastritis
529;herpes zoster ophthalmic;ophthalmic herpes zoster
530;treatment related secondary malignancy;second primary malignancy
531;blood human chorionic gonadotropin increased;human chorionic gonadotropin increased
532;conduct disorder;behaviour disorder
533;magnetic resonance imaging brain abnormal;magnetic resonance imaging head abnormal
534;wegener's granulomatosis;granulomatosis with polyangiitis
535;pneumocystis carinii pneumonia;pneumocystis jirovecii pneumonia
536;asperger's disorder;autism spectrum disorder
537;bacteria stool identified;bacterial test positive
538;faecal occult blood positive;occult blood positive
539;cryptogenic organizing pneumonia;organising pneumonia
540;gastrointestinal angiodysplasia haemorrhagic;gastrointestinal vascular malformation haemorrhagic
541;in-stent coronary artery restenosis;vascular stent stenosis
542;general physical condition decreased;general physical health deterioration
543;unexpected therapeutic drug effect;therapeutic response unexpected
544;nephrogenic fibrosing dermopathy;nephrogenic systemic fibrosis
545;skin inflammation;dermatitis
546;gastrostomy tube insertion;gastrostomy
547;psychosomatic disease;somatic symptom disorder
548;false positive laboratory result;false positive investigation result
549;reiter's syndrome;arthritis reactive
550;vein pain;vascular pain
551;chorioamnionitis;amniotic cavity infection
552;implant site effusion;implant site extravasation
553;gingival inflammation;noninfective gingivitis
554;smoker;tobacco user
555;post procedural pain;procedural pain
556;refractory anaemia;refractory cytopenia with unilineage dysplasia
557;vascular bypass graft;vascular graft
558;cytomegalovirus antigen positive;cytomegalovirus test positive
559;cow's milk intolerance;dairy intolerance
560;large intestine carcinoma;colon cancer
561;lung squamous cell carcinoma stage unspecified;squamous cell carcinoma of lung
562;intestinal scarring;gastrointestinal scarring
563;cryptogenic organising pneumonia;organising pneumonia
564;tablet physical issue;product physical issue
565;sclerosing encapsulating peritonitis;encapsulating peritoneal sclerosis
566;difficulty removing drug implant;complication of device removal
567;drug cross-reactivity;cross sensitivity reaction
568;abdominal haematoma;intra-abdominal haematoma
569;toe deformity;foot deformity
570;fear of needles;fear of injection
571;retinoic acid syndrome;differentiation syndrome
572;polysubstance dependence;substance dependence
573;radiculitis;radiculopathy
574;nasopharyngeal disorder;pharyngeal disorder
575;carbon monoxide diffusing capacity decreased;lung diffusion test decreased
576;nuclear magnetic resonance imaging;magnetic resonance imaging
577;leukaemia plasmacytic;plasma cell leukaemia
578;feeding disorder of infancy or early childhood;selective eating disorder
579;acute tonsillitis;tonsillitis
580;eye operation complication;ocular procedural complication
581;trousseau's syndrome;thrombophlebitis migrans
582;cytomegalovirus antibody positive;cytomegalovirus test positive
583;pregnancy induced hypertension;gestational hypertension
584;failure of implant;device failure
585;myodesopsia;vitreous floaters
586;electrocardiogram poor r-wave progression;qrs axis abnormal
587;gastritis atrophic;chronic gastritis
588;no adverse reaction;no adverse event
589;aortic atherosclerosis;aortic arteriosclerosis
590;sleep phase rhythm disturbance;irregular sleep wake rhythm disorder
591;anal discomfort;anorectal discomfort
592;candiduria;urinary tract candidiasis
593;device component issue;device issue
594;sigmoiditis;colitis
595;unresponsive to pain stimuli;unresponsive to stimuli
596;hypochondriasis;illness anxiety disorder
597;helicobacter pylori identification test positive;helicobacter test positive
598;phaehyphomycosis;phaeohyphomycosis
599;clostridium difficile toxin test positive;clostridium test positive
600;capsule physical issue;product physical issue
601;murder;homicide
602;buccal mucosal roughening;oral mucosal roughening
603;vaginal contraceptive device expelled;device expulsion
604;hyperosmolar hyperglycaemic state;hyperglycaemic hyperosmolar nonketotic syndrome
605;peritoneal effusion;ascites
606;malignant breast lump removal;breast conserving surgery
607;polyp colorectal;large intestine polyp
608;somatisation disorder;somatic symptom disorder
609;metastatic pain;cancer pain
610;osteosynthesis;internal fixation of fracture
611;cerebrovascular spasm;cerebral vasoconstriction
612;bacteria blood identified;bacterial test positive
613;prolactinoma;prolactin-producing pituitary tumour
614;phlebothrombosis;venous thrombosis
615;pyothorax;infectious pleural effusion
616;heart valve insufficiency;heart valve incompetence
617;chromosome abnormality;cytogenetic abnormality
618;oculogyration;oculogyric crisis
619;graft versus host disease in intestine;graft versus host disease in gastrointestinal tract
620;exposure to mould;exposure to fungus
621;car t-cell-related encephalopathy syndrome;immune effector cell-associated neurotoxicity syndrome
622;gallop rhythm present;heart sounds abnormal
623;pleural haemorrhage;haemothorax
624;bullous lung disease;cystic lung disease
625;drug name confusion;product name confusion
626;antibiotic resistant staphylococcus test positive;staphylococcus test positive
627;oestrogen receptor positive breast cancer;hormone receptor positive breast cancer
628;keratitis herpetic;herpes ophthalmic
629;early morning awakening;terminal insomnia
630;whiplash injury;post-traumatic neck syndrome
631;perianal erythema;anal erythema
632;bladder distension;bladder dilatation
633;residual urine;urinary retention
634;breast infection;mastitis
635;fixed drug eruption;fixed eruption
636;hepatitis c positive;hepatitis c virus test positive
637;breast microcalcification;breast calcifications
638;toxic induced encephalopathy;toxic encephalopathy
639;disuse syndrome;immobilisation syndrome
640;non-alcoholic fatty liver;nonalcoholic fatty liver disease
641;spinal haematoma;spinal cord haematoma
642;balanitis;balanoposthitis
643;post procedural nausea;procedural nausea
644;neuropathic pain;neuralgia
645;vogt-koyanagi-harada syndrome;vogt-koyanagi-harada disease
646;tongue black hairy;trichoglossia
647;radiculitis lumbosacral;lumbosacral radiculopathy
648;triple vessel bypass graft;coronary artery bypass
649;femoral arterial stenosis;peripheral artery stenosis
650;melanosis coli;gastrointestinal tract mucosal pigmentation
651;oral mucosal disorder;oral disorder
652;clostridium difficile sepsis;clostridial sepsis
653;cystopexy;urinary bladder suspension
654;product friable;product physical issue
655;regurgitation of food;regurgitation
656;carotid artery atheroma;carotid arteriosclerosis
657;catheter thrombosis;device related thrombosis
658;bladder neck suspension;urinary bladder suspension
659;myopericarditis;myocarditis
660;post procedural vomiting;procedural vomiting
661;house dust allergy;mite allergy
662;hydropneumothorax;pneumothorax
663;vaginal candidiasis;vulvovaginal candidiasis
664;perianal abscess;anal abscess
665;localised osteoarthritis;osteoarthritis
666;alveolitis fibrosing;idiopathic pulmonary fibrosis
667;stress incontinence;stress urinary incontinence
668;rash scaly;exfoliative rash
669;small bowel angioedema;intestinal angioedema
670;focal glomerulosclerosis;focal segmental glomerulosclerosis
