"";"dose_freq";"dose_freq_st";"N"
"151";"Q24";NA;2
"152";"1X Q D";NA;2
"153";"1 QD";NA;2
"154";"Q1MN";NA;2
"155";"EOD";NA;2
"156";"CYCLE";NA;2
"157";"Q2YR";NA;2
"158";"Q3-4HR";NA;2
"159";"QO4W";NA;2
"160";"Q3HOURS";NA;1
"161";"TWICE A DAY";NA;1
"162";"2-A WK APART";NA;1
"163";"DAILY";NA;1
"164";"1X/12HOUR";NA;1
"165";"1X/12 HOURS";NA;1
"166";"EVERY 6 MONTHS";NA;1
"167";"WD";NA;1
"168";"1 D";NA;1
"169";"EVERY 3 MONTHS";NA;1
"170";"D1,5,8,,12";NA;1
"171";"P.O.";NA;1
"172";"4-6HRS";NA;1
"173";"X21D/28D";NA;1
"174";"YEARLY";NA;1
"175";"AMHS";NA;1
"176";"SID";NA;1
"177";"QWX4";NA;1
"178";"1 IN 1 MIN.";NA;1
"179";"3XQD8H";NA;1
"180";"4QD";NA;1
"181";"2X PRN";NA;1
"182";"Q3MTH";NA;1
"183";"4 TIMES A DAY";NA;1
"184";"TID/PRN";NA;1
"185";"Q24M";NA;1
"186";"Q10Y";NA;1
"187";"X12";NA;1
"188";"X1WK";NA;1
"189";"D";NA;1
"190";"AT DINNER";NA;1
"191";"X 1";NA;1
"192";"Q2WX4";NA;1
"193";"PRNBID";NA;1
"194";"Q3Y";NA;1
"195";"1XYR";NA;1
"196";"Q5YR";NA;1
"197";"MTTHFSS / WEDNESDAY";NA;1
"198";"5XQD";NA;1
"199";"2XQM";NA;1
"200";"QD@HS";NA;1
"201";"2XYR";NA;1
"202";"II TID";NA;1
"203";"Q1Y";NA;1
"204";"Q6-8WKS";NA;1
"205";"Q6-8WK";NA;1
"206";"8HR";NA;1
"207";"3-4XQD";NA;1
"208";"Q12HRS";NA;1
"209";"Q28DAYS";NA;1
"210";"Q7DAY";NA;1
"211";"BI\W";NA;1
"212";"Q20MIN";NA;1
"213";"W1";NA;1
"214";"D1-5";NA;1
"215";"Q7-9HR";NA;1
"216";"Q10MIN";NA;1
"217";"B ID";NA;1
"218";"Q4-6HPRN";NA;1
"219";"Q18HR";NA;1
"220";"2/W";NA;1
"221";"PRN Q6H";NA;1
"222";"Q21DAY";NA;1
"223";"1QHS";NA;1
"224";"Q4HR PRN";NA;1
"225";"2QAM";NA;1
"226";"3QW";NA;1
"227";"X3";NA;1
"228";"Q3YR";NA;1
"229";"2XQAM";NA;1
"230";"1Q12H";NA;1
"231";"QD/SAT";NA;1
"232";"SSMTWF";NA;1
"233";"X7DAY";NA;1
"234";"X1HSPRN";NA;1
"235";"X1HS";NA;1
"236";" Q MON";NA;1
"237";"Q24-48H";NA;1
"238";"1Q6H";NA;1
"239";"QD X2";NA;1
"240";"QD X6";NA;1
"241";"4W";NA;1
"242";"X1@HS";NA;1
"243";"Q14DAYS";NA;1
"244";"X1Q2H";NA;1
"245";"Q28DA";NA;1
"246";"Q 14DAY";NA;1
"247";"1 X W";NA;1
"248";"3QHR";NA;1
"249";"Q6D";NA;1
"250";"1 X QD";NA;1
"251";"Q2WK";NA;1
"252";"Q 2 W";NA;1
"253";"IU";NA;1
"254";"QDPRN";NA;1
"255";"X124H";NA;1
"256";"X1AM";NA;1
"257";"BIY";NA;1
"258";"24H";NA;1
"259";"SOLN";NA;1
"260";"HS PRN";NA;1
"261";"M/W/F";NA;1
"262";"Q20D";NA;1
"263";"1XQDHS";NA;1
"264";"Q18W";NA;1
"265";"BID RPN";NA;1
"266";"1XQ8H";NA;1
"267";"1XQ12H";NA;1
"268";"X6QW";NA;1
"269";"1XQH";NA;1
"270";"X1QH";NA;1
"271";"MG/ML";NA;1
"272";"Q28DAY";NA;1
"273";"HR";NA;1
"274";"QON";NA;1
"275";"QA,";NA;1
"276";"21D";NA;1
"277";"QDX  `";NA;1
"278";"NOS";NA;1
"279";"QH4 PRN";NA;1
"280";"TIW/QIW";NA;1
"281";"QWS";NA;1
"282";"Q/W";NA;1
"283";"ACHS";NA;1
"284";"13M";NA;1
"285";"48HR";NA;1
"286";"Q1W";NA;1
"287";" PRN";NA;1
"288";"BIF";NA;1
"289";"1-4XQD";NA;1
"290";"X2AM/PM";NA;1
"291";"1-3XQD";NA;1
"292";"BID AM PM";NA;1
"293";"Q20H";NA;1
"294";"Q72 HRS";NA;1
"295";"ONCE";NA;1
"296";"EOW";NA;1
"297";"TIDPM";NA;1
"298";"14X";NA;1
"299";"X20";NA;1
"300";"TIDQD";NA;1
"301";"QDW";NA;1
"302";"HSPRN";NA;1
"303";"Q6-7W";NA;1
"304";"Q4-6W";NA;1
"305";"1 HS";NA;1
"306";"QDAM AND PM";NA;1
"307";"1X QD AM";NA;1
"308";"1-2QW";NA;1
"309";"1X Q6H";NA;1
"310";"Q 3 W";NA;1
"311";"Q90D";NA;1
"312";"Q3MON";NA;1
"313";"5QM";NA;1
"314";"Q52W";NA;1
"315";"RID";NA;1
"316";"Q6MTH";NA;1
"317";"Q21/28D";NA;1
"318";"Q32H";NA;1
"319";"QDD";NA;1
"320";"Q15D";NA;1
"321";"Q18H";NA;1
"322";"BUW";NA;1
"323";"Q72HR";NA;1
"324";"BUID";NA;1
"325";"Q1M";NA;1
"326";"QO6M";NA;1
"327";"Q 72 HRS";NA;1
"328";"Q6MO";NA;1
"329";"GD";NA;1
"330";"Q4S";NA;1
"331";"QW4";NA;1
"332";"ORAL";NA;1
"333";"1X/DAY";NA;1
"334";"Q48D";NA;1
"335";"QS";NA;1
"336";"Q4-6HR";NA;1
"337";"BD";NA;1
"338";"AQ";NA;1
"339";"QN";NA;1
"340";"Q4WKS";NA;1
"341";"HQ";NA;1
"342";"Q30D";NA;1
"343";"WOW";NA;1
"344";"Q28CYC";NA;1
"345";"Q6WK";NA;1
"346";"3QD";NA;1
"347";"Q2MTH";NA;1
"348";"OK";NA;1
"349";"Q12WK";NA;1
"350";"Q4M";NA;1
"351";"2QD";NA;1
"352";"QF";NA;1
"353";"BIC";NA;1
"354";"Q12WKS";NA;1
